深圳市嘉信置业房地产开发有限公司,嘉信云峰公馆,深房许字（2019）宝安017号,宝安,2019-10-25,projectdetail.aspx?id=42133
深圳市深业中城有限公司,深业中城（B302-0040）,深房许字（2019）福田005号,福田,2019-10-21,projectdetail.aspx?id=42096
深圳市深信西部房地产有限公司,满京华云朗公馆,深房许字（2019）宝安015号,宝安,2019-10-11,projectdetail.aspx?id=41997
中粮地产发展（深圳）有限公司,天悦壹号玺苑,深房许字（2019）宝安014号,宝安,2019-10-09,projectdetail.aspx?id=41954
深圳市深旅物业管理有限公司,金众麒麟公馆,深房许字（2019）南山013号,南山,2019-10-09,projectdetail.aspx?id=41953
深圳市金碧房地产开发有限公司,凤凰公馆,深房许字（2019）坪山011号,龙岗,2019-09-29,projectdetail.aspx?id=41915
深圳市鸿腾投资管理有限公司,恒大成一期花园,深房许字（2019）坪山010号,龙岗,2019-09-29,projectdetail.aspx?id=41913
深圳市创世和实业有限公司,合景同创广场,深房许字（2019）盐田004号,盐田,2019-09-28,projectdetail.aspx?id=41903
深圳市西城房地产开发有限公司,万科星宸大厦,深房许字（2019）宝安013号,宝安,2019-09-29,projectdetail.aspx?id=41855
深圳市大族云峰投资有限公司,大族云峰花园,深房许字（2019）龙岗021号,龙岗,2019-09-26,projectdetail.aspx?id=41853
深圳市盐田佳兆业房地产开发有限公司,二期御景佳园,深房许字（2019）盐田003号,盐田,2019-09-25,projectdetail.aspx?id=41838
深圳市深国际联合置地有限公司,深国际万科和雅轩,深房许字（2019）龙华010号,宝安,2019-09-27,projectdetail.aspx?id=41834
深圳莱华置业有限公司,宝能城花园（西区）,深房许字（2019）南山012号,南山,2019-09-20,projectdetail.aspx?id=41773
深圳市东海成投资有限公司,悦千山雅园,深房许字（2019）盐田002号,盐田,2019-09-18,projectdetail.aspx?id=41733
深圳市奥星房地产开发有限公司,星河天地花园二期,深房许字（2019）光明003号,宝安,2019-09-18,projectdetail.aspx?id=41713
深圳市碧海投资发展有限公司,京基御景半山花园,深房许字（2019）龙岗020号,龙岗,2019-09-19,projectdetail.aspx?id=41693
深圳市君华时代发展有限公司,君华天第家园,深房许字（2019）龙岗019号,龙岗,2019-09-10,projectdetail.aspx?id=41534
深圳卓越青浦房地产开发有限公司,誉珑荟庭,深房许字（2019）宝安012号,宝安,2019-09-06,projectdetail.aspx?id=41533
深圳华侨城滨海有限公司,海府生态大厦（一期）,深房许字（2019）宝安011号,宝安,2019-09-03,projectdetail.aspx?id=41495
深圳市益田世达投资管理有限公司,益科大厦,深房许字（2019）坪山009号,龙岗,2019-09-04,projectdetail.aspx?id=41459
深圳市岗隆实业有限公司,勤诚达正大城和园,深房许字（2019）光明002号,宝安,2019-08-30,projectdetail.aspx?id=41458
深圳市恒明置业发展有限公司,恒明湾创汇中心,深房许字（2019）龙岗018号,龙岗,2019-09-02,projectdetail.aspx?id=41373
深圳市汇海置业有限公司,中洲滨海商业中心一期2栋,深房许字（2019）福田004号,福田,2019-08-23,projectdetail.aspx?id=41353
深圳市横岗佳兆业投资咨询有限公司,佳兆业未来时代大厦,深房许字（2019）龙岗017号,龙岗,2019-08-23,projectdetail.aspx?id=41339
深圳市天珺房地产开发有限公司,天健天骄南苑,深房许字（2019）福田003号,福田,2019-08-22,projectdetail.aspx?id=41333
深圳市宝盛龙悦实业投资有限公司,华盛珑悦花园,深房许字（2019）龙华009号,宝安,2019-08-22,projectdetail.aspx?id=41273
深圳市桂芳园实业有限公司,佳兆业君汇公馆,深房许字（2019）龙岗016号,龙岗,2019-08-15,projectdetail.aspx?id=41235
深圳市桂芳园实业有限公司,佳兆业君汇公馆,深房许字（2019）龙岗015号,龙岗,2019-08-15,projectdetail.aspx?id=41234
深圳市桂芳园实业有限公司,佳兆业金御雅园,深房许字（2019）龙岗014号,龙岗,2019-08-15,projectdetail.aspx?id=41233
深圳市恒明商业有限公司,仁恒梦公寓,深房许字（2019）龙岗013号,龙岗,2019-08-14,projectdetail.aspx?id=41193
深圳市和盛置业有限公司,和盛五十府,深房许字（2019）龙岗012号,龙岗,2019-08-05,projectdetail.aspx?id=41113
建滔数码发展（深圳）有限公司,恒大时尚慧谷大厦,深房许字（2019）龙华008号,宝安,2019-07-30,projectdetail.aspx?id=41053
深圳市鸿荣源实业有限公司,壹成未来花园,深房许字（2019）龙华007号,宝安,2019-07-18,projectdetail.aspx?id=40993
深圳市华讯方舟投资有限公司,天谷大楼,深房许字（2019）宝安010号,宝安,2019-07-15,projectdetail.aspx?id=40933
深圳市京基房地产股份有限公司,长源京基御领公馆,深房许字（2019）南山010号,南山,2019-07-08,projectdetail.aspx?id=40913
深圳市京基房地产股份有限公司,长源京基御景峯公馆,深房许字（2019）南山009号,南山,2019-06-28,projectdetail.aspx?id=40854
深圳市绿景房地产开发有限公司,绿景美景广场,深房许字（2019）南山008号,南山,2019-06-27,projectdetail.aspx?id=40793
深业泰然（集团）股份有限公司,泰然立城,深房许字（2019）福田002号,福田,2019-06-26,projectdetail.aspx?id=40733
深圳卓越青浦房地产开发有限公司,誉珑明轩,深房许字（2019）宝安009号,宝安,2019-06-20,projectdetail.aspx?id=40573
深圳市禾兴隆实业有限公司,鹏展汇广场,深房许字（2019）宝安008号,宝安,2019-06-20,projectdetail.aspx?id=40513
深圳市汇先丰实业发展有限公司,光明汇先丰保障性住房项目（南地块）,深房许字（2021）光明020号,光明,2021-11-19,projectdetail.aspx?id=82733
深圳市榕江实业有限公司,榕江壹号院,深房许字（2021）宝安024号,宝安,2021-11-18,projectdetail.aspx?id=82553
深圳市佰亨置业有限公司,鸿荣源博誉府（A812-1039）,深房许字（2021）龙华013号,龙华,2021-11-18,projectdetail.aspx?id=82280
深圳市汇先丰实业发展有限公司,光明汇先丰保障性住房项目（北地块）,深房许字（2021）光明019号,光明,2021-11-19,projectdetail.aspx?id=82133
新旺实业发展（深圳）有限公司,深业东岭商务大厦,深房许字（2021）罗湖010号,罗湖,2021-11-16,projectdetail.aspx?id=81840
深圳市盛宏置业投资有限公司,盛璟润府,深房许字（2021）龙华012号,龙华,2021-11-17,projectdetail.aspx?id=81793
广东深汕华侨城投资有限公司,纯水岸花园（四期）,深房许字（2021）深汕007号,深汕,2021-11-15,projectdetail.aspx?id=81333
深圳市新润园房地产开发有限公司,海德园B区,深房许字（2021）福田004号,福田,2021-11-15,projectdetail.aspx?id=80853
